domain	name	region	tranco
nola.com	NOLA.com	US	11556
kqed.org	KQED	US	11578
univision.com	Univision News	US	11599
commondreams.org	Common Dreams	US	11697
abc7.com	ABC7	US	11726
houstonchronicle.com	Houston Chronicle	US	11816
democracynow.org	Democracy Now!	US	11897
orlandosentinel.com	Orlando Sentinel	US	11936
texastribune.org	Texas Tribune	US	12040
edweek.org	Education Week	US	12083
sun-sentinel.com	Sun Sentinel	US	12381
alternet.org	AlterNet	US	12396
bostonherald.com	Boston Herald	US	12405
sltrib.com	Salt Lake Tribune	US	12413
catalog.hathitrust.org	Liberty	US	12508
politifact.com	Politifact 	US	12512
dailycaller.com	Daily Caller	US	12648
gawker.com	Gawker	US	12681
realclearpolitics.com	Real Clear Politics	US	12704
thegatewaypundit.com	Gateway Pundit	US	12738
curbed.com	Curbed	US	12828
stltoday.com	St. Louis Post-Dispatch	US	12896
suburbanjournals.stltoday.com	Suburban Journals	US	12896
indystar.com	The Indianapolis Star	US	12923
ktla.com	KTLA	US	12943
philly.com	Philadelphia Daily News	US	12980
syracuse.com	Syracuse.com	US	12983
nybooks.com	New York Review of Books	US	13129
courthousenews.com	Courthouse News Service	US	13161
dailydot.com	The Daily Dot	US	13248
laweekly.com	LA Weekly	US	13252
theinformation.com	The Information	US	13274
kansascity.com	Kansas City Star	US	13311
militarytimes.com	Military Times	US	13376
masslive.com	MassLive	US	13416
grist.org	Grist	US	13430
dispatch.com	The Columbus Dispatch	US	13582
townhall.com	Townhall	US	13648
link.gale.com	Windows IT Pro	US	13649
pennlive.com	PennLive	US	13792
mediaite.com	Mediaite	US	13807
tennessean.com	The Tennessean	US	13822
truthout.org	Truthout	US	14183
nbcchicago.com	NBC Chicago	US	14188
villagevoice.com	The Village Voice	US	14193
defensenews.com	Defense News	US	14341
awi.defensenews.com	Defense News	US	14341
gothamist.com	Gothamist	US	14488
courant.com	Q1587159	US	14531
law360.com	Law360	US	14551
abc7news.com	ABC7 News	US	14966
statesman.com	Austin Statesman	US	15010
mysanantonio.com	San Antonio Express-News	US	15120
stripes.com	Stars and Stripes	US	15153
desmoinesregister.com	Des Moines Register	US	15377
altoonaherald.desmoinesregister.com	Altoona Herald-Mitchellville Index	US	15377
cincinnati.com	Cincinnati Enquirer	US	15518
newsobserver.com	The News & Observer	US	15559
opensecrets.org	OpenSecrets	US	15570
news.nau.edu	The NAU Review	US	15596
triblive.com	Pittsburgh Tribune-Review	US	15615
theblaze.com	Blaze	US	15628
9news.com	9NEWS Denver	US	15672
jacobin.com	Jacobin	US	15699
torrentfreak.com	TorrentFreak	US	15719
wnyc.org	WNYC	US	15781
christianitytoday.com	Christianity Today	US	15887
jezebel.com	Jezebel	US	15929
404media.co	404 Media	US	15990
charlotteobserver.com	Charlotte Observer	US	15992
deadspin.com	Deadspin	US	16003
spokesman.com	Spokesman-Review	US	16059
postandcourier.com	Aiken Standard	US	16186
cjr.org	Columbia Journalism Review	US	16328
pressherald.com	Portland Press Herald	US	16383
christianpost.com	The Christian Post	US	16464
drudgereport.com	Drudge Report	US	16537
nbcbayarea.com	NBC Bay Area	US	16544
buffalonews.com	Buffalo News	US	16598
northjersey.com	The Record	US	16664
king5.com	KING5	US	16695
semafor.com	Semafor	US	16793
harpers.org	Harper’s	US	16918
adn.com	Anchorage Daily News	US	17062
palmbeachpost.com	The Palm Beach Post	US	17087
icij.org	ICIJ	US	17124
twincities.com	St. Paul Pioneer Press	US	17152
rollcall.com	Roll Call	US	17224
dailyherald.com	Daily Herald	US	17242
seattlepi.com	Seattle Post-Intelligencer	US	17250
star.txstate.edu	University Star	US	17297
wfaa.com	WFAA	US	17366
theringer.com	Ringer	US	17392
dailywire.com	Daily Wire	US	17397
prospect.org	American Prospect	US	17578
mprnews.org	MPR News	US	17583
